Parameter i0,P i1,P k0,P k1,P order0,P order1,P order2,P order3,P mode0,P mode1,P mode2,P mode3,P j0,P j1,P lorder0,P lorder1,P lorder2,P lorder3,P lorder4,P lorder5,P para,P vec,P unroll,P un_fac,P parchunk,Mapped X,Mapped Y,Mapped,Execution Time
256,128,128,256,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,k1,i1,j1,j0,j1,None,0,16,8,15,815,36.32762145996094
128,256,128,256,k0,i0,k1,i1,2,1,0,1,64,2,j0,k0,i0,j1,k1,i1,j0,None,None,0,4,24,6,2406,46.44938278198242
128,256,128,256,k0,i0,k1,i1,2,1,0,1,64,2,j0,k0,i0,j1,k1,i1,j0,None,None,0,4,24,6,2406,55.16073226928711
128,256,2048,16,i0,k0,k1,i1,0,1,1,2,4,32,i0,j0,k0,k1,j1,i1,None,None,i0,2048,16,0,37,37,68.12306213378906
128,256,128,256,k0,i0,i1,k1,2,1,0,1,64,2,j0,k0,i0,j1,i1,k1,j0,None,k0,128,4,7,37,737,55.6783332824707
256,128,8192,4,k0,i0,k1,i1,2,1,1,2,64,2,j0,k0,i0,j1,k1,i1,j0,None,None,0,4,8,7,807,62.01725769042969
256,128,128,256,k0,i0,k1,i1,1,1,0,1,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,256,8,15,16,1516,85.14202117919922
256,128,128,256,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,128,64,3,37,337,81.36062622070312
256,128,128,256,k0,i0,k1,i1,1,1,0,1,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,256,8,15,16,1516,75.7660903930664
256,128,2048,16,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,2048,4,0,37,37,81.22425079345703
128,256,128,256,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,128,8,23,37,2337,73.74703216552734
256,128,2048,16,k0,i0,k1,i1,1,1,0,2,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,256,8,0,16,16,89.28488159179688
128,256,2048,16,k0,i0,k1,i1,2,1,0,2,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,128,16,1,36,136,77.97798919677734
