crystk01_2x16_1,q_sa_searching,2 i 2 i0 32 i1 64 k 2 k0 256 k1 256 1 A 4 i0 k0 k1 i1 A 4 i0 0 i1 1 k0 0 k1 1 1 j 2 j0 8 j1 16 6 i0 k0 k1 i1 j0 j1 i0 None None 0 32 1,1.9376068115234375,1.0519967079162598
t2dal_a_8x4_3,q_sa_searching,2 i 2 i0 128 i1 128 k 2 k0 1024 k1 8 1 A 4 i0 k0 i1 k1 A 4 i0 0 i1 1 k0 1 k1 0 1 j 2 j0 2 j1 64 6 i0 k0 j0 i1 k1 j1 i0 j1 k1 8 32 1,1.8029175996780396,0.9665405750274658
EX1_8x8_4,q_sa_searching,2 i 2 i0 256 i1 16 k 2 k0 256 k1 16 1 A 4 i0 k0 i1 k1 A 4 i0 1 i1 0 k0 1 k1 0 1 j 2 j0 4 j1 32 6 i0 j0 k0 i1 k1 j1 i0 j1 None 0 32 4,1.420814871788025,0.6862829923629761
name,method,config command,csr_time,best_time
name,method,config command,csr_time,best_time
name,method,config command,csr_time,best_time
name,method,config command,csr_time,best_time
name,method,config command,csr_time,best_time
name,method,config command,csr_time,best_time
name,method,config command,csr_time,best_time
name,method,config command,csr_time,best_time
name,method,config command,csr_time,best_time
name,method,config command,csr_time,best_time
name,method,config command,csr_time,best_time
