P i1,P k1,P j1,P lorder0,P lorder1,P lorder2,P lorder3,P lorder4,P lorder5,P mode0,P mode1,P mode2,P mode3,P para,P nt,P parchunk,Mapped X,Mapped Y,Mapped,Execution Time
4,128,16,i1,k1,i0,j1,k0,j0,0,0,0,0,i1,48,8,24,13,2413,1.5137687921524048
2,16,16,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,64,0,23,23,1.376879096031189
1,16,16,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,64,0,23,23,1.4292746782302856
2,16,32,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,32,1,23,123,1.3919670581817627
8,128,8,i1,k1,i0,k0,j1,j0,1,0,1,0,i1,48,8,8,33,833,1.5687752962112427
8,256,4,i1,k1,i0,k0,j1,j0,0,0,1,0,i1,48,64,32,33,3233,1.4770327806472778
2,32,128,i1,k1,i0,j1,k0,j0,1,0,0,0,i1,48,32,2,13,213,1.38578200340271
4,256,32,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,4,16,13,1613,1.520200490951538
4,128,64,i1,j1,k1,i0,k0,j0,1,1,0,0,i1,48,16,32,33,3233,1.415453553199768
4,16,64,i1,k1,j1,i0,k0,j0,1,0,0,0,i1,48,256,0,13,13,1.3615477085113525
4,128,4,i1,k1,k0,i0,j1,j0,1,0,0,0,i1,48,128,4,3,403,1.3764210939407349
2,32,16,i1,k1,k0,i0,j1,j0,0,0,0,1,i1,48,256,0,4,4,1.488684058189392
4,256,4,i1,k1,k0,i0,j1,j0,0,0,0,0,i1,48,128,8,3,803,1.3740732669830322
4,256,4,i1,k1,k0,i0,j1,j0,0,0,0,0,i1,48,256,4,3,403,1.4085747003555298
32,2,16,i1,i0,k1,j1,k0,j0,0,1,0,1,i1,48,4,16,34,1634,1.3489547967910767
8,128,32,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,4,16,13,1613,1.4775747060775757
8,2,32,i1,i0,k1,j1,k0,j0,0,1,0,1,i1,48,32,0,34,34,1.38149094581604
8,2,64,i1,i0,k1,j1,k0,j0,1,1,0,1,i1,48,32,0,34,34,1.4107617139816284
4,4,32,i1,k1,i0,j1,k0,j0,0,0,0,0,i1,48,64,0,13,13,1.345913290977478
1,16,64,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,64,0,23,23,1.4115475416183472
2,128,32,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,16,16,13,1613,1.423684000968933
1,256,64,i1,j1,i0,k1,k0,j0,0,0,0,0,i1,48,16,16,33,1633,1.5070987939834595
8,128,32,i1,k1,j1,i0,k0,j0,0,0,0,0,i1,48,32,32,13,3213,1.378251075744629
4,4,16,i1,i0,k1,j1,k0,j0,0,0,0,1,i1,48,4,4,14,414,1.6797070503234863
16,256,16,i1,j1,k1,i0,k0,j0,1,0,0,0,i1,48,4,24,13,2413,2.1031291484832764
4,8,64,i1,i0,k1,k0,j1,j0,0,1,0,1,i1,48,8,4,4,404,1.8584352731704712
8,32,32,i1,j1,i0,k1,k0,j0,1,1,0,0,i1,48,1,16,13,1613,1.6161140203475952
128,4,32,i1,j1,i0,k1,k0,j0,0,0,0,0,i1,48,1,32,33,3233,1.9013606309890747
2,128,64,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,8,32,13,3213,1.3877525329589844
8,2,1,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,64,0,23,23,2.174670457839966
4,1,64,i1,i0,j1,k1,k0,j0,0,0,0,0,i1,48,256,0,33,33,1.3984373807907104
1,16,1,i1,k1,k0,i0,j1,j0,0,0,0,1,i1,48,64,0,4,4,2.0664353370666504
1,32,128,i1,j1,k1,i0,k0,j0,0,0,0,0,i1,48,64,0,13,13,1.425927758216858
32,8,16,i1,j1,k1,k0,i0,j0,1,0,0,0,i1,48,1,16,3,1603,2.406740188598633
8,64,32,i1,k1,j1,i0,k0,j0,0,0,0,0,i1,48,64,8,13,813,1.5294207334518433
1,16,32,i1,i0,k1,k0,j1,j0,1,0,0,1,i1,48,8,2,24,224,2.8157715797424316
8,256,32,i1,k1,j1,k0,i0,j0,1,0,0,0,i1,48,4,32,3,3203,1.5816903114318848
4,16,64,i1,j1,i0,k1,k0,j0,1,1,0,0,i1,48,4,16,13,1613,2.414759635925293
256,2,16,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,16,32,13,3213,2.182831048965454
2,256,128,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,64,8,33,833,2.7618942260742188
4,64,32,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,32,8,23,823,2.408723831176758
8,64,32,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,2,16,13,1613,1.6156607866287231
4,256,64,i1,j1,k1,i0,k0,j0,0,1,0,0,i1,48,32,32,33,3233,1.6098356246948242
8,64,32,i1,k1,j1,i0,k0,j0,0,0,0,0,i1,48,32,16,13,1613,1.4024462699890137
16,64,16,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,4,16,33,1633,1.3515599966049194
2,32,16,i1,k1,i0,k0,j1,j0,0,0,0,0,i1,48,256,0,23,23,1.3905829191207886
4,32,64,i1,j1,k1,i0,k0,j0,0,0,0,0,i1,48,256,0,13,13,1.4100830554962158
4,16,64,i1,j1,k1,i0,k0,j0,0,0,0,0,i1,48,128,0,13,13,1.3747862577438354
64,4,64,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,2,8,33,833,1.3688825368881226
4,128,16,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,32,16,3,1603,1.5030609369277954
4,128,64,i1,k1,i0,j1,k0,j0,1,1,0,0,i1,48,64,8,33,833,1.3588546514511108
1,16,128,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,32,0,23,23,1.5010162591934204
4,4,128,i1,i0,j1,k1,k0,j0,1,1,0,0,i1,48,64,0,13,13,1.3461823463439941
32,4,32,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,2,24,33,2433,1.4721980094909668
4,128,32,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,8,24,33,2433,1.5377994775772095
